bahan_a	bahan_b	senyawa_toksik	gejala	level	sumber	deskripsi
Kacang merah mentah	-	Phytohaemagglutinin (PHA)	Mual, muntah parah, diare	error	FDA Natural Toxins in Food; WHO	Phytohaemagglutinin adalah lectin yang ditemukan pada kacang merah mentah atau setengah matang. Perendaman minimal 5 jam dan perebusan 30 menit dapat menghancurkan toksin ini.
Kentang hijau	-	Solanine / Glycoalkaloid	Mual, muntah, diare, kram perut, sakit kepala, dalam kasus parah dapat menyebabkan koma	error	FDA; WHO Natural Toxins in Food; CFS Hong Kong	Solanine adalah alkaloid yang ditemukan pada kentang yang berwarna hijau, bertunas, atau rusak. Dosis toksik >2-5 mg/kg BB. Masak tidak menghancurkan sepenuhnya.
Biji aprikot	-	Amygdalin (Laetrile) / Sianida	Kram perut, mual, diare, sakit kepala, kejang, dalam dosis tinggi bisa menyebabkan keracunan sianida dan kematian	error	FDA Natural Toxins in Food; PubMed	Amygdalin diubah menjadi sianida oleh enzim di usus. Biji aprikot, ceri, persik, dan plum mengandung senyawa ini. Mengonsumsi sejumlah besar biji sangat berbahaya.
Biji ceri	-	Amygdalin / Sianida	Kram perut, mual, diare, sakit kepala, kejang, keracunan sianida	error	FDA Natural Toxins in Food	Sama seperti biji aprikot, biji ceri mengandung amygdalin yang dapat diubah menjadi sianida dalam tubuh.
Jamur beracun (Amanita)	-	Amatoxin / Amanitin	Nyeri perut, diare, muntah, dehidrasi, gagal hati, koma, kematian	error	FDA Natural Toxins in Food; CDC	Death cap (Amanita phalloides) dan destroying angel (Amanita virosa) adalah jamur paling berbahaya. Toksinnya tahan panas dan tidak hancur saat dimasak.
Elderberry mentah	-	Lectin + Sianida (glikosida sianogenik)	Mual, muntah, diare	error	FDA; European Medicines Agency	Buah elderberry mentah, kulit batang, dan daun mengandung lectin dan sianida. Hanya aman dikonsumsi setelah dimasak dengan benar.
Pala (dosis tinggi)	-	Myristicin	Halusinasi, kantuk, pusing, kebingungan, kejang, dalam dosis sangat tinggi dapat menyebabkan gagal organ	error	Journal of Medical Toxicology; WebMD	Dosis 2 sendok teh pala sudah bisa menjadi toksik karena myristicin. Dosis tinggi (>5g) dapat menyebabkan keracunan serius.
Kacang mete mentah	-	Uruhiol	Ruam kulit, reaksi alergi, dalam kasus parah reaksi anafilaksis	error	MedicineNet; WebMD	Kacang mete yang dijual di pasaran sudah dikukus untuk menghilangkan urushiol dari cangkangnya. Kacang mete benar-benar mentah mengandung urushiol, toksin yang sama dengan poison ivy.
Daun Rhubarb	-	Asam Oksalat (Oxalic acid)	Mual, muntah, sakit perut, dalam dosis tinggi dapat menyebabkan batu ginjal dan gagal ginjal	error	WHO Natural Toxins in Food; Medscape	Batang rhubarb aman dimakan, tetapi daunnya mengandung kadar asam oksalat sangat tinggi yang beracun. Dosis fatal dilaporkan sekitar 5-10g oksalat.
Buah Ackee mentah	-	Hypoglycin A	Mual, muntah, koma, kematian (sindrom muntah Jamaika)	error	FDA Natural Toxins in Food; CDC	Hypoglycin A adalah toksin tahan panas yang ditemukan pada kulit dan biji buah ackee. Reaksi bisa ringan hingga fatal. Ackee yang dipanen dan disiapkan dengan benar memiliki kadar hypoglycin rendah.
