nama_bahan	rasa_manis	rasa_asin	rasa_asam	rasa_pahit	rasa_umami	kategori_rasa	pasangan_cocok	pasangan_hindari	sumber
Beras putih	0	0	0	0	1	netral	semua lauk, santan	tidak ada	FlavorDB/culinary
Beras merah	0	0	0	1	1	earthy, nutty	ikan, sayuran hijau	tidak ada	FlavorDB/culinary
Beras sorgum	0	0	0	1	1	nutty, earthy	bumbu kuat, santan	manis berlebihan	FlavorDB/culinary
Tepung terigu	0	0	0	0	0	netral	semua	tidak ada	FlavorDB/culinary
Tepung beras	0	0	0	0	0	netral, mild	gorengan, kue	tidak ada	FlavorDB/culinary
Tepung sorgum	0	0	0	1	1	nutty, earthy	bumbu tradisional	manis ringan	FlavorDB/culinary
Oat	0	0	0	1	1	earthy, mild	susu, buah, madu	terasi, ikan	FlavorDB/culinary
Quinoa	0	0	0	1	1	nutty, mild	sayuran, alpukat	manis berat	FlavorDB/culinary
Jagung manis	3	0	0	0	1	manis, buttery	mentega, cabai, keju	ikan asin	FlavorDB/culinary
Mie instan	0	3	0	0	2	asin, umami	telur, sayuran, sambal	buah segar	FlavorDB/culinary
Daging sapi	0	1	0	0	4	umami, savory	bawang, merica, kecap	manis berat, buah	FlavorDB/culinary
Daging ayam	0	1	0	0	3	mild umami	bawang, kunyit, jahe, serai	terasi, durian	FlavorDB/culinary
Daging kambing	0	1	0	0	3	gamey, umami	jintan, ketumbar, yogurt	santan manis	FlavorDB/culinary
Ayam kampung	0	1	0	0	3	umami, rich	bumbu tradisional	terasi	FlavorDB/culinary
Daging bebek	0	1	0	0	4	rich, gamey	bumbu bali, sambal	manis ringan	FlavorDB/culinary
Telur ayam	0	1	0	0	3	savory, mild	bawang, sambal, kecap	terasi, durian	FlavorDB/culinary
Telur bebek	0	1	0	0	3	rich, savory	bumbu kuat	manis	FlavorDB/culinary
Ikan salmon	0	1	0	0	4	buttery, umami	lemon, dill, mentega	terasi, kecap manis	FlavorDB/culinary
Ikan tuna	0	1	0	0	4	meaty, umami	kecap, jahe, wijen	santan	FlavorDB/culinary
Ikan kembung	0	1	0	0	3	rich, oily	kunyit, bawang, cabai	susu, keju	FlavorDB/culinary
Ikan lele	0	1	0	0	2	mild, flaky	sambal, bawang, jeruk nipis	santan manis	FlavorDB/culinary
Udang	0	1	0	0	4	sweet umami	bawang, cabai, jeruk nipis	susu, keju	FlavorDB/culinary
Cumi-cumi	0	1	0	0	3	mild umami, chewy	cabai, bawang, jeruk	santan manis	FlavorDB/culinary
Tahu putih	0	0	0	0	1	netral, absorbs	bumbu apa saja, kecap, sambal	tidak ada	FlavorDB/culinary
Tempe	0	0	0	1	3	nutty, umami, earthy	bawang, kecap, sambal, terasi	manis berat	FlavorDB/culinary
Kedelai	0	0	0	1	3	beany, umami	kecap, bawang, jahe	manis, buah	FlavorDB/culinary
Kacang merah	0	0	0	1	2	earthy, mild sweet	gula, santan, bawang	terasi, ikan	FlavorDB/culinary
Kacang hijau	0	0	0	1	2	earthy, mild	gula, santan, pandan	terasi, ikan	FlavorDB/culinary
Kacang tanah	1	1	0	1	2	nutty, earthy	cabai, kecap, gula, bawang	susu, keju	FlavorDB/culinary
Kacang mete	1	1	0	0	2	buttery, nutty	bumbu kari, cabai	terasi	FlavorDB/culinary
Bayam	0	0	0	1	1	earthy, mild	bawang, terasi, cabai	keju, susu	FlavorDB/culinary
Kangkung	0	0	0	0	1	earthy, green	terasi, bawang, cabai	keju	FlavorDB/culinary
Wortel	2	0	0	0	1	sweet, earthy	mentega, madu, jintan	terasi	FlavorDB/culinary
Kentang	0	0	0	0	1	starchy, mild	mentega, bawang, keju	terasi, ikan	FlavorDB/culinary
Kol/kubis	0	0	0	1	1	mild, peppery	bawang, cuka, gula	susu	FlavorDB/culinary
Tomat	1	0	2	0	2	asam, umami	bawang, basil, kecap	susu, keju	FlavorDB/culinary
Brokoli	0	0	0	1	1	green, mild bitter	bawang putih, mentega, keju	terasi, ikan asin	FlavorDB/culinary
Terong	0	0	0	1	1	mild, earthy	bumbu bali, terasi, kecap	susu	FlavorDB/culinary
Buncis	0	0	0	0	1	green, crisp	bawang, terasi, kelapa	susu	FlavorDB/culinary
Cabai merah	0	0	1	0	0	pedas, asam	bawang, terasi, kecap	susu, keju, manis	FlavorDB/culinary
Cabai rawit	0	0	1	0	0	sangat pedas	bawang, terasi	susu, keju, manis	FlavorDB/culinary
Bawang merah	0	0	0	0	2	aromatic, umami	semua masakan Indonesia	tidak ada	FlavorDB/culinary
Bawang putih	0	0	0	0	2	aromatic, pungent	semua masakan	tidak ada	FlavorDB/culinary
Jamur tiram	0	0	0	0	3	umami, earthy	bawang, kecap, mentega	tidak ada	FlavorDB/culinary
Pisang	3	0	0	0	0	manis, creamy	susu, cokelat, madu	ikan, terasi	FlavorDB/culinary
Jeruk	2	0	3	0	0	asam, manis	salad, yogurt	susu (curdling)	FlavorDB/culinary
Apel	2	0	1	0	0	manis, crisp	kayu manis, karamel	terasi, ikan	FlavorDB/culinary
Mangga	3	0	1	0	0	tropis, manis	santan, sticky rice, cabai	terasi, ikan asin	FlavorDB/culinary
Pepaya	2	0	0	0	0	manis, tropis	jeruk nipis, madu	ikan, terasi	FlavorDB/culinary
Semangka	3	0	0	0	0	manis, segar	mint, jeruk nipis	ikan, terasi	FlavorDB/culinary
Alpukat	1	0	0	0	1	creamy, mild	gula, susu, cokelat, jeruk	terasi, ikan asin	FlavorDB/culinary
Durian	3	0	0	0	1	manis, creamy, pungent	santan, gula, ketan	alkohol, terasi, ikan asin	FlavorDB/culinary
