bahan_asli	bahan_pengganti	alasan	rasio_pengganti	perbedaan_rasa	perbedaan_gizi	sumber
Susu sapi	Susu almond	Vegan/laktosa	1:1	Lebih ringan, nutty	Lebih rendah protein, kalori	FDA; Nutritional science
Susu sapi	Susu oat	Vegan/laktosa	1:1	Creamy, sedikit manis	Serat lebih tinggi	FDA; Nutritional science
Susu sapi	Susu kedelai	Vegan/laktosa	1:1	Sedikit beany	Protein setara, isoflavon	FDA; Nutritional science
Susu sapi	Susu kelapa	Vegan/laktosa	1:1	Tropical, rich	Tinggi lemak jenuh	FDA; Nutritional science
Keju cheddar	Keju vegan	Vegan/alergi dairy	1:1	Mirip tapi kurang umami	Tanpa kolesterol	Nutritional science
Keju cheddar	Nutritional yeast	Vegan	0.5:1	Cheesy, umami	Tinggi B12, protein	Nutritional science
Mentega	Margarin	Vegan/alergi dairy	1:1	Mirip	Tanpa kolesterol, lemak trans	FDA
Mentega	Minyak kelapa	Vegan/alergi dairy	0.75:1	Sedikit kelapa	Lemak jenuh tinggi	Nutritional science
Mentega	Applesauce	Rendah lemak	0.5:1	Manis, moist	Rendah kalori, tinggi serat	Baking science
Yogurt	Yogurt kelapa	Vegan/alergi dairy	1:1	Creamy, tropical	Rendah protein	Nutritional science
Yogurt	Yogurt kedelai	Vegan/alergi dairy	1:1	Sedikit asam	Protein setara	Nutritional science
Whipped cream	Krim kelapa	Vegan/alergi dairy	1:1	Tropical, rich	Tinggi lemak jenuh	Nutritional science
Susu kental manis	Santan kental + gula	Vegan/alergi dairy	1:1	Lebih kelapa	Tinggi lemak jenuh	Traditional
Cream cheese	Tofu cream cheese	Vegan/alergi dairy	1:1	Lebih ringan	Rendah lemak, tinggi protein	Nutritional science
Es krim susu	Es krim kelapa	Vegan/alergi dairy	1:1	Tropical	Tinggi lemak jenuh	Nutritional science
Tepung terigu	Tepung beras	Alergi gluten	1:1	Lebih ringan, crispy	Bebas gluten, rendah serat	Baking science
Tepung terigu	Tepung sorgum	Alergi gluten	1:1	Earthy, nutty	Bebas gluten, tinggi serat	Baking science
Tepung terigu	Tepung tapioka	Alergi gluten	0.5:1	Chewy, elastic	Bebas gluten, rendah nutrisi	Baking science
Tepung terigu	Tepung almond	Alergi gluten/keto	1:1	Nutty, moist	Tinggi protein, rendah karbo	Baking science
Tepung terigu	Tepung maizena	Alergi gluten	0.5:1	Ringan, crispy	Bebas gluten, rendah nutrisi	Baking science
Tepung terigu	Tepung oat	Alergi gluten	1:1	Chewy, hearty	Tinggi serat	Baking science
Roti tawar	Roti gluten-free	Alergi gluten	1:1	Lebih crumbly	Bebas gluten	Nutritional science
